Entity,Code,Year,Right to change legal gender (historical)
Czechia,CZE,2000,"Legal, surgery required"
Czechia,CZE,2001,"Legal, surgery required"
Czechia,CZE,2002,"Legal, surgery required"
Czechia,CZE,2003,"Legal, surgery required"
Czechia,CZE,2004,"Legal, surgery required"
Czechia,CZE,2005,"Legal, surgery required"
Czechia,CZE,2006,"Legal, surgery required"
Czechia,CZE,2007,"Legal, surgery required"
Czechia,CZE,2008,"Legal, surgery required"
Czechia,CZE,2009,"Legal, surgery required"
Czechia,CZE,2010,"Legal, surgery required"
Czechia,CZE,2011,"Legal, surgery required"
Czechia,CZE,2012,"Legal, surgery required"
Czechia,CZE,2013,"Legal, surgery required"
Czechia,CZE,2014,"Legal, surgery required"
Czechia,CZE,2015,"Legal, surgery required"
Czechia,CZE,2016,"Legal, surgery required"
Czechia,CZE,2017,"Legal, surgery required"
Czechia,CZE,2018,"Legal, surgery required"
Czechia,CZE,2019,"Legal, surgery required"
Czechia,CZE,2020,"Legal, surgery required"
Czechia,CZE,2021,"Legal, surgery required"
Czechia,CZE,2022,"Legal, surgery required"
Czechia,CZE,2023,"Legal, surgery required"
Czechia,CZE,2024,"Legal, surgery required"
Czechia,CZE,2025,"Legal, surgery required"
Democratic Republic of Congo,COD,2025,Illegal
Denmark,DNK,2014,"Legal, no restrictions"
Denmark,DNK,2015,"Legal, no restrictions"
Denmark,DNK,2016,"Legal, no restrictions"
Denmark,DNK,2017,"Legal, no restrictions"
Denmark,DNK,2018,"Legal, no restrictions"
Denmark,DNK,2019,"Legal, no restrictions"
Denmark,DNK,2020,"Legal, no restrictions"
Denmark,DNK,2021,"Legal, no restrictions"
Denmark,DNK,2022,"Legal, no restrictions"
Denmark,DNK,2023,"Legal, no restrictions"
Denmark,DNK,2024,"Legal, no restrictions"
Denmark,DNK,2025,"Legal, no restrictions"
Djibouti,DJI,2025,Illegal
Dominica,DMA,2025,Illegal
Dominican Republic,DOM,2025,Illegal
East Timor,TLS,2025,Illegal
Ecuador,ECU,2016,"Legal, no restrictions"
Ecuador,ECU,2017,"Legal, no restrictions"
Ecuador,ECU,2018,"Legal, no restrictions"
Ecuador,ECU,2019,"Legal, no restrictions"
Ecuador,ECU,2020,"Legal, no restrictions"
Ecuador,ECU,2021,"Legal, no restrictions"
Ecuador,ECU,2022,"Legal, no restrictions"
Ecuador,ECU,2023,"Legal, no restrictions"
Ecuador,ECU,2024,"Legal, no restrictions"
Ecuador,ECU,2025,"Legal, no restrictions"
Egypt,EGY,2025,"Legal, surgery required"
El Salvador,SLV,2022,Ambiguous
El Salvador,SLV,2023,Ambiguous
El Salvador,SLV,2024,Ambiguous
El Salvador,SLV,2025,Ambiguous
Equatorial Guinea,GNQ,2025,Illegal
Eritrea,ERI,2025,Illegal
Estonia,EST,1972,"Legal, surgery required"
Estonia,EST,1973,"Legal, surgery required"
Estonia,EST,1974,"Legal, surgery required"
Estonia,EST,1975,"Legal, surgery required"
Estonia,EST,1976,"Legal, surgery required"
Estonia,EST,1977,"Legal, surgery required"
Estonia,EST,1978,"Legal, surgery required"
Estonia,EST,1979,"Legal, surgery required"
Estonia,EST,1980,"Legal, surgery required"
Estonia,EST,1981,"Legal, surgery required"
Estonia,EST,1982,"Legal, surgery required"
Estonia,EST,1983,"Legal, surgery required"
Estonia,EST,1984,"Legal, surgery required"
Estonia,EST,1985,"Legal, surgery required"
Estonia,EST,1986,"Legal, surgery required"
Estonia,EST,1987,"Legal, surgery required"
Estonia,EST,1988,"Legal, surgery required"
Estonia,EST,1989,"Legal, surgery required"
Estonia,EST,1990,"Legal, surgery required"
Estonia,EST,1991,"Legal, surgery required"
Estonia,EST,1992,"Legal, no restrictions"
Estonia,EST,1993,"Legal, no restrictions"
Estonia,EST,1994,"Legal, no restrictions"
Estonia,EST,1995,"Legal, no restrictions"
Estonia,EST,1996,"Legal, no restrictions"
Estonia,EST,1997,"Legal, no restrictions"
Estonia,EST,1998,"Legal, no restrictions"
Estonia,EST,1999,"Legal, medical diagnosis required"
Estonia,EST,2000,"Legal, medical diagnosis required"
Estonia,EST,2001,"Legal, medical diagnosis required"
Estonia,EST,2002,"Legal, medical diagnosis required"
Estonia,EST,2003,"Legal, medical diagnosis required"
Estonia,EST,2004,"Legal, medical diagnosis required"
Estonia,EST,2005,"Legal, medical diagnosis required"
Estonia,EST,2006,"Legal, medical diagnosis required"
Estonia,EST,2007,"Legal, medical diagnosis required"
Estonia,EST,2008,"Legal, medical diagnosis required"
Estonia,EST,2009,"Legal, medical diagnosis required"
Estonia,EST,2010,"Legal, medical diagnosis required"
Estonia,EST,2011,"Legal, medical diagnosis required"
Estonia,EST,2012,"Legal, medical diagnosis required"
Estonia,EST,2013,"Legal, medical diagnosis required"
Estonia,EST,2014,"Legal, medical diagnosis required"
Estonia,EST,2015,"Legal, medical diagnosis required"
Estonia,EST,2016,"Legal, medical diagnosis required"
Estonia,EST,2017,"Legal, medical diagnosis required"
Estonia,EST,2018,"Legal, medical diagnosis required"
Estonia,EST,2019,"Legal, medical diagnosis required"
Estonia,EST,2020,"Legal, medical diagnosis required"
Estonia,EST,2021,"Legal, medical diagnosis required"
Estonia,EST,2022,"Legal, medical diagnosis required"
Estonia,EST,2023,"Legal, medical diagnosis required"
Estonia,EST,2024,"Legal, medical diagnosis required"
Estonia,EST,2025,"Legal, medical diagnosis required"
Eswatini,SWZ,1983,"Legal, medical diagnosis required"
Eswatini,SWZ,1984,"Legal, medical diagnosis required"
Eswatini,SWZ,1985,"Legal, medical diagnosis required"
Eswatini,SWZ,1986,"Legal, medical diagnosis required"
Eswatini,SWZ,1987,"Legal, medical diagnosis required"
Eswatini,SWZ,1988,"Legal, medical diagnosis required"
Eswatini,SWZ,1989,"Legal, medical diagnosis required"
Eswatini,SWZ,1990,"Legal, medical diagnosis required"
Eswatini,SWZ,1991,"Legal, medical diagnosis required"
Eswatini,SWZ,1992,"Legal, medical diagnosis required"
Eswatini,SWZ,1993,"Legal, medical diagnosis required"
Eswatini,SWZ,1994,"Legal, medical diagnosis required"
Eswatini,SWZ,1995,"Legal, medical diagnosis required"
Eswatini,SWZ,1996,"Legal, medical diagnosis required"
Eswatini,SWZ,1997,"Legal, medical diagnosis required"
Eswatini,SWZ,1998,"Legal, medical diagnosis required"
Eswatini,SWZ,1999,"Legal, medical diagnosis required"
Eswatini,SWZ,2000,"Legal, medical diagnosis required"
Eswatini,SWZ,2001,"Legal, medical diagnosis required"
Eswatini,SWZ,2002,"Legal, medical diagnosis required"
Eswatini,SWZ,2003,"Legal, medical diagnosis required"
Eswatini,SWZ,2004,"Legal, medical diagnosis required"
Eswatini,SWZ,2005,"Legal, medical diagnosis required"
Eswatini,SWZ,2006,"Legal, medical diagnosis required"
Eswatini,SWZ,2007,"Legal, medical diagnosis required"
Eswatini,SWZ,2008,"Legal, medical diagnosis required"
Eswatini,SWZ,2009,"Legal, medical diagnosis required"
Eswatini,SWZ,2010,"Legal, medical diagnosis required"
Eswatini,SWZ,2011,"Legal, medical diagnosis required"
Eswatini,SWZ,2012,"Legal, medical diagnosis required"
Eswatini,SWZ,2013,"Legal, medical diagnosis required"
Eswatini,SWZ,2014,"Legal, medical diagnosis required"
Eswatini,SWZ,2015,"Legal, medical diagnosis required"
Eswatini,SWZ,2016,"Legal, medical diagnosis required"
Eswatini,SWZ,2017,"Legal, medical diagnosis required"
Eswatini,SWZ,2018,"Legal, medical diagnosis required"
Eswatini,SWZ,2019,"Legal, medical diagnosis required"
Eswatini,SWZ,2020,"Legal, medical diagnosis required"
Eswatini,SWZ,2021,"Legal, medical diagnosis required"
Eswatini,SWZ,2022,"Legal, medical diagnosis required"
Eswatini,SWZ,2023,"Legal, medical diagnosis required"
Eswatini,SWZ,2024,"Legal, medical diagnosis required"
Eswatini,SWZ,2025,"Legal, medical diagnosis required"
Ethiopia,ETH,2025,Illegal
Fiji,FJI,2025,Illegal
Finland,FIN,2003,"Legal, surgery required"
Finland,FIN,2004,"Legal, surgery required"
Finland,FIN,2005,"Legal, surgery required"
Finland,FIN,2006,"Legal, surgery required"
Finland,FIN,2007,"Legal, surgery required"
Finland,FIN,2008,"Legal, surgery required"
Finland,FIN,2009,"Legal, surgery required"
Finland,FIN,2010,"Legal, surgery required"
Finland,FIN,2011,"Legal, surgery required"
Finland,FIN,2012,"Legal, surgery required"
Finland,FIN,2013,"Legal, surgery required"
Finland,FIN,2014,"Legal, surgery required"
Finland,FIN,2015,"Legal, surgery required"
Finland,FIN,2016,"Legal, surgery required"
Finland,FIN,2017,"Legal, surgery required"
Finland,FIN,2018,"Legal, surgery required"
Finland,FIN,2019,"Legal, surgery required"
Finland,FIN,2020,"Legal, surgery required"
Finland,FIN,2021,"Legal, surgery required"
Finland,FIN,2022,"Legal, surgery required"
Finland,FIN,2023,"Legal, no restrictions"
Finland,FIN,2024,"Legal, no restrictions"
Finland,FIN,2025,"Legal, no restrictions"
France,FRA,1992,"Legal, surgery required"
France,FRA,1993,"Legal, surgery required"
France,FRA,1994,"Legal, surgery required"
France,FRA,1995,"Legal, surgery required"
France,FRA,1996,"Legal, surgery required"
France,FRA,1997,"Legal, surgery required"
France,FRA,1998,"Legal, surgery required"
France,FRA,1999,"Legal, surgery required"
France,FRA,2000,"Legal, surgery required"
France,FRA,2001,"Legal, surgery required"
France,FRA,2002,"Legal, surgery required"
France,FRA,2003,"Legal, surgery required"
France,FRA,2004,"Legal, surgery required"
France,FRA,2005,"Legal, surgery required"
France,FRA,2006,"Legal, surgery required"
France,FRA,2007,"Legal, surgery required"
France,FRA,2008,"Legal, surgery required"
France,FRA,2009,"Legal, surgery required"
France,FRA,2010,"Legal, surgery required"
France,FRA,2011,"Legal, surgery required"
France,FRA,2012,"Legal, surgery required"
France,FRA,2013,"Legal, surgery required"
France,FRA,2014,"Legal, surgery required"
France,FRA,2015,"Legal, surgery required"
France,FRA,2016,"Legal, surgery required"
France,FRA,2017,"Legal, surgery required"
France,FRA,2018,"Legal, no restrictions"
France,FRA,2019,"Legal, no restrictions"
France,FRA,2020,"Legal, no restrictions"
France,FRA,2021,"Legal, no restrictions"
France,FRA,2022,"Legal, no restrictions"
France,FRA,2023,"Legal, no restrictions"
France,FRA,2024,"Legal, no restrictions"
France,FRA,2025,"Legal, no restrictions"
Gabon,GAB,2025,Illegal
Gambia,GMB,2025,Illegal
Georgia,GEO,1972,"Legal, surgery required"
Georgia,GEO,1973,"Legal, surgery required"
Georgia,GEO,1974,"Legal, surgery required"
Georgia,GEO,1975,"Legal, surgery required"
Georgia,GEO,1976,"Legal, surgery required"
Georgia,GEO,1977,"Legal, surgery required"
Georgia,GEO,1978,"Legal, surgery required"
Georgia,GEO,1979,"Legal, surgery required"
Georgia,GEO,1980,"Legal, surgery required"
Georgia,GEO,1981,"Legal, surgery required"
Georgia,GEO,1982,"Legal, surgery required"
Georgia,GEO,1983,"Legal, surgery required"
Georgia,GEO,1984,"Legal, surgery required"
Georgia,GEO,1985,"Legal, surgery required"
Georgia,GEO,1986,"Legal, surgery required"
Georgia,GEO,1987,"Legal, surgery required"
Georgia,GEO,1988,"Legal, surgery required"
Georgia,GEO,1989,"Legal, surgery required"
Georgia,GEO,1990,"Legal, surgery required"
Georgia,GEO,1991,"Legal, surgery required"
Georgia,GEO,1992,"Legal, surgery required"
Georgia,GEO,1993,"Legal, surgery required"
Georgia,GEO,1994,"Legal, surgery required"
Georgia,GEO,1995,"Legal, surgery required"
Georgia,GEO,1996,"Legal, surgery required"
Georgia,GEO,1997,"Legal, surgery required"
Georgia,GEO,1998,"Legal, surgery required"
Georgia,GEO,1999,"Legal, surgery required"
Georgia,GEO,2000,"Legal, surgery required"
Georgia,GEO,2001,"Legal, surgery required"
Georgia,GEO,2002,"Legal, surgery required"
Georgia,GEO,2003,"Legal, surgery required"
Georgia,GEO,2004,"Legal, surgery required"
Georgia,GEO,2005,"Legal, surgery required"
Georgia,GEO,2006,"Legal, surgery required"
Georgia,GEO,2007,"Legal, surgery required"
Georgia,GEO,2008,"Legal, surgery required"
Georgia,GEO,2009,"Legal, surgery required"
Georgia,GEO,2010,"Legal, surgery required"
Georgia,GEO,2011,"Legal, surgery required"
Georgia,GEO,2012,"Legal, surgery required"
Georgia,GEO,2013,"Legal, surgery required"
Georgia,GEO,2014,"Legal, surgery required"
Georgia,GEO,2015,"Legal, surgery required"
Georgia,GEO,2016,"Legal, surgery required"
Georgia,GEO,2017,"Legal, surgery required"
Georgia,GEO,2018,"Legal, surgery required"
Georgia,GEO,2019,"Legal, surgery required"
Georgia,GEO,2020,"Legal, surgery required"
Georgia,GEO,2021,"Legal, surgery required"
Georgia,GEO,2022,"Legal, surgery required"
Georgia,GEO,2023,"Legal, surgery required"
Georgia,GEO,2024,Illegal
Georgia,GEO,2025,Illegal
Germany,DEU,1950,Illegal
Germany,DEU,1951,Illegal
Germany,DEU,1952,Illegal
Germany,DEU,1953,Illegal
Germany,DEU,1954,Illegal
Germany,DEU,1955,Illegal
Germany,DEU,1956,Illegal
Germany,DEU,1957,Illegal
Germany,DEU,1958,Illegal
Germany,DEU,1959,Illegal
Germany,DEU,1960,Illegal
Germany,DEU,1961,Illegal
Germany,DEU,1962,Illegal
Germany,DEU,1963,Illegal
Germany,DEU,1964,Illegal
Germany,DEU,1965,Illegal
Germany,DEU,1966,Illegal
Germany,DEU,1967,Illegal
Germany,DEU,1968,Illegal
Germany,DEU,1969,Illegal
Germany,DEU,1970,Illegal
Germany,DEU,1971,Illegal
Germany,DEU,1972,Illegal
Germany,DEU,1973,Illegal
Germany,DEU,1974,Illegal
Germany,DEU,1975,Illegal
Germany,DEU,1976,Illegal
Germany,DEU,1977,Illegal
Germany,DEU,1978,Illegal
Germany,DEU,1979,Illegal
Germany,DEU,1980,"Legal, surgery required"
Germany,DEU,1981,"Legal, surgery required"
Germany,DEU,1982,"Legal, surgery required"
Germany,DEU,1983,"Legal, surgery required"
Germany,DEU,1984,"Legal, surgery required"
Germany,DEU,1985,"Legal, surgery required"
Germany,DEU,1986,"Legal, surgery required"
Germany,DEU,1987,"Legal, surgery required"
Germany,DEU,1988,"Legal, surgery required"
Germany,DEU,1989,"Legal, surgery required"
Germany,DEU,1990,"Legal, surgery required"
Germany,DEU,1991,"Legal, surgery required"
Germany,DEU,1992,"Legal, surgery required"
Germany,DEU,1993,"Legal, surgery required"
Germany,DEU,1994,"Legal, surgery required"
Germany,DEU,1995,"Legal, surgery required"
Germany,DEU,1996,"Legal, surgery required"
Germany,DEU,1997,"Legal, surgery required"
Germany,DEU,1998,"Legal, surgery required"
Germany,DEU,1999,"Legal, surgery required"
Germany,DEU,2000,"Legal, surgery required"
Germany,DEU,2001,"Legal, surgery required"
Germany,DEU,2002,"Legal, surgery required"
Germany,DEU,2003,"Legal, surgery required"
Germany,DEU,2004,"Legal, surgery required"
Germany,DEU,2005,"Legal, surgery required"
Germany,DEU,2006,"Legal, surgery required"
Germany,DEU,2007,"Legal, surgery required"
Germany,DEU,2008,"Legal, surgery required"
Germany,DEU,2009,"Legal, surgery required"
Germany,DEU,2010,"Legal, surgery required"
Germany,DEU,2011,"Legal, medical diagnosis required"
Germany,DEU,2012,"Legal, medical diagnosis required"
Germany,DEU,2013,"Legal, medical diagnosis required"
Germany,DEU,2014,"Legal, medical diagnosis required"
Germany,DEU,2015,"Legal, medical diagnosis required"
Germany,DEU,2016,"Legal, medical diagnosis required"
Germany,DEU,2017,"Legal, medical diagnosis required"
Germany,DEU,2018,"Legal, medical diagnosis required"
Germany,DEU,2019,"Legal, medical diagnosis required"
Germany,DEU,2020,"Legal, medical diagnosis required"
Germany,DEU,2021,"Legal, medical diagnosis required"
Germany,DEU,2022,"Legal, medical diagnosis required"
Germany,DEU,2023,"Legal, medical diagnosis required"
Germany,DEU,2024,"Legal, no restrictions"
Germany,DEU,2025,"Legal, no restrictions"
Ghana,GHA,2025,Illegal
Greece,GRC,2017,"Legal, no restrictions"
Greece,GRC,2018,"Legal, no restrictions"
Greece,GRC,2019,"Legal, no restrictions"
Greece,GRC,2020,"Legal, no restrictions"
Greece,GRC,2021,"Legal, no restrictions"
Greece,GRC,2022,"Legal, no restrictions"
Greece,GRC,2023,"Legal, no restrictions"
Greece,GRC,2024,"Legal, no restrictions"
Greece,GRC,2025,"Legal, no restrictions"
Grenada,GRD,2025,Illegal
Guatemala,GTM,2025,Illegal
Guinea,GIN,2025,Illegal
Guinea-Bissau,GNB,2025,Illegal
Guyana,GUY,2025,Illegal
Haiti,HTI,2025,Illegal
Honduras,HND,2025,Illegal
Hungary,HUN,1982,"Legal, no restrictions"
Hungary,HUN,1983,"Legal, no restrictions"
Hungary,HUN,1984,"Legal, no restrictions"
Hungary,HUN,1985,"Legal, no restrictions"
Hungary,HUN,1986,"Legal, no restrictions"
Hungary,HUN,1987,"Legal, no restrictions"
Hungary,HUN,1988,"Legal, no restrictions"
Hungary,HUN,1989,"Legal, no restrictions"
Hungary,HUN,1990,"Legal, no restrictions"
Hungary,HUN,1991,"Legal, no restrictions"
Hungary,HUN,1992,"Legal, no restrictions"
Hungary,HUN,1993,"Legal, no restrictions"
Hungary,HUN,1994,"Legal, no restrictions"
Hungary,HUN,1995,"Legal, no restrictions"
Hungary,HUN,1996,"Legal, no restrictions"
Hungary,HUN,1997,"Legal, no restrictions"
Hungary,HUN,1998,"Legal, no restrictions"
Hungary,HUN,1999,"Legal, no restrictions"
Hungary,HUN,2000,"Legal, no restrictions"
Hungary,HUN,2001,"Legal, no restrictions"
Hungary,HUN,2002,"Legal, no restrictions"
Hungary,HUN,2003,"Legal, no restrictions"
Hungary,HUN,2004,"Legal, no restrictions"
Hungary,HUN,2005,"Legal, no restrictions"
Hungary,HUN,2006,"Legal, no restrictions"
Hungary,HUN,2007,"Legal, no restrictions"
Hungary,HUN,2008,"Legal, no restrictions"
Hungary,HUN,2009,"Legal, no restrictions"
Hungary,HUN,2010,"Legal, no restrictions"
Hungary,HUN,2011,"Legal, no restrictions"
Hungary,HUN,2012,"Legal, no restrictions"
Hungary,HUN,2013,"Legal, no restrictions"
Hungary,HUN,2014,"Legal, no restrictions"
Hungary,HUN,2015,"Legal, no restrictions"
Hungary,HUN,2016,"Legal, no restrictions"
Hungary,HUN,2017,"Legal, no restrictions"
Hungary,HUN,2018,"Legal, no restrictions"
Hungary,HUN,2019,"Legal, no restrictions"
Hungary,HUN,2020,Illegal
Hungary,HUN,2021,Illegal
Hungary,HUN,2022,Illegal
Hungary,HUN,2023,Illegal
Hungary,HUN,2024,Illegal
Hungary,HUN,2025,Illegal
Iceland,ISL,2012,"Legal, surgery required"
Iceland,ISL,2013,"Legal, surgery required"
Iceland,ISL,2014,"Legal, surgery required"
Iceland,ISL,2015,"Legal, surgery required"
Iceland,ISL,2016,"Legal, surgery required"
Iceland,ISL,2017,"Legal, surgery required"
Iceland,ISL,2018,"Legal, surgery required"
Iceland,ISL,2019,"Legal, no restrictions"
Iceland,ISL,2020,"Legal, no restrictions"
Iceland,ISL,2021,"Legal, no restrictions"
Iceland,ISL,2022,"Legal, no restrictions"
Iceland,ISL,2023,"Legal, no restrictions"
Iceland,ISL,2024,"Legal, no restrictions"
Iceland,ISL,2025,"Legal, no restrictions"
India,IND,2014,Ambiguous
India,IND,2015,Ambiguous
India,IND,2016,Ambiguous
India,IND,2017,Ambiguous
India,IND,2018,Ambiguous
India,IND,2019,"Legal, surgery required"
India,IND,2020,"Legal, surgery required"
India,IND,2021,"Legal, surgery required"
India,IND,2022,"Legal, surgery required"
India,IND,2023,"Legal, surgery required"
India,IND,2024,"Legal, surgery required"
India,IND,2025,"Legal, surgery required"
Indonesia,IDN,1973,"Legal, surgery required"
Indonesia,IDN,1974,"Legal, surgery required"
Indonesia,IDN,1975,"Legal, surgery required"
Indonesia,IDN,1976,"Legal, surgery required"
Indonesia,IDN,1977,"Legal, surgery required"
Indonesia,IDN,1978,"Legal, surgery required"
Indonesia,IDN,1979,"Legal, surgery required"
Indonesia,IDN,1980,"Legal, surgery required"
Indonesia,IDN,1981,"Legal, surgery required"
Indonesia,IDN,1982,"Legal, surgery required"
Indonesia,IDN,1983,"Legal, surgery required"
Indonesia,IDN,1984,"Legal, surgery required"
Indonesia,IDN,1985,"Legal, surgery required"
Indonesia,IDN,1986,"Legal, surgery required"
Indonesia,IDN,1987,"Legal, surgery required"
Indonesia,IDN,1988,"Legal, surgery required"
Indonesia,IDN,1989,"Legal, surgery required"
Indonesia,IDN,1990,"Legal, surgery required"
Indonesia,IDN,1991,"Legal, surgery required"
Indonesia,IDN,1992,"Legal, surgery required"
Indonesia,IDN,1993,"Legal, surgery required"
Indonesia,IDN,1994,"Legal, surgery required"
Indonesia,IDN,1995,"Legal, surgery required"
Indonesia,IDN,1996,"Legal, surgery required"
Indonesia,IDN,1997,"Legal, surgery required"
Indonesia,IDN,1998,"Legal, surgery required"
Indonesia,IDN,1999,"Legal, surgery required"
Indonesia,IDN,2000,"Legal, surgery required"
Indonesia,IDN,2001,"Legal, surgery required"
Indonesia,IDN,2002,"Legal, surgery required"
Indonesia,IDN,2003,"Legal, surgery required"
Indonesia,IDN,2004,"Legal, surgery required"
Indonesia,IDN,2005,"Legal, surgery required"
Indonesia,IDN,2006,"Legal, surgery required"
Indonesia,IDN,2007,"Legal, surgery required"
Indonesia,IDN,2008,"Legal, surgery required"
Indonesia,IDN,2009,"Legal, surgery required"
Indonesia,IDN,2010,"Legal, surgery required"
Indonesia,IDN,2011,"Legal, surgery required"
Indonesia,IDN,2012,"Legal, surgery required"
Indonesia,IDN,2013,"Legal, surgery required"
Indonesia,IDN,2014,"Legal, surgery required"
Indonesia,IDN,2015,"Legal, surgery required"
Indonesia,IDN,2016,"Legal, surgery required"
Indonesia,IDN,2017,"Legal, surgery required"
Indonesia,IDN,2018,"Legal, surgery required"
Indonesia,IDN,2019,"Legal, surgery required"
Indonesia,IDN,2020,"Legal, surgery required"
Indonesia,IDN,2021,"Legal, surgery required"
Indonesia,IDN,2022,"Legal, surgery required"
Indonesia,IDN,2023,"Legal, surgery required"
Indonesia,IDN,2024,"Legal, surgery required"
Indonesia,IDN,2025,"Legal, surgery required"
Iran,IRN,1987,"Legal, surgery required"
Iran,IRN,1988,"Legal, surgery required"
Iran,IRN,1989,"Legal, surgery required"
Iran,IRN,1990,"Legal, surgery required"
Iran,IRN,1991,"Legal, surgery required"
Iran,IRN,1992,"Legal, surgery required"
Iran,IRN,1993,"Legal, surgery required"
Iran,IRN,1994,"Legal, surgery required"
Iran,IRN,1995,"Legal, surgery required"
Iran,IRN,1996,"Legal, surgery required"
Iran,IRN,1997,"Legal, surgery required"
Iran,IRN,1998,"Legal, surgery required"
Iran,IRN,1999,"Legal, surgery required"
Iran,IRN,2000,"Legal, surgery required"
Iran,IRN,2001,"Legal, surgery required"
Iran,IRN,2002,"Legal, surgery required"
Iran,IRN,2003,"Legal, surgery required"
Iran,IRN,2004,"Legal, surgery required"
Iran,IRN,2005,"Legal, surgery required"
Iran,IRN,2006,"Legal, surgery required"
Iran,IRN,2007,"Legal, surgery required"
Iran,IRN,2008,"Legal, surgery required"
Iran,IRN,2009,"Legal, surgery required"
Iran,IRN,2010,"Legal, surgery required"
Iran,IRN,2011,"Legal, surgery required"
Iran,IRN,2012,"Legal, surgery required"
Iran,IRN,2013,"Legal, surgery required"
Iran,IRN,2014,"Legal, surgery required"
Iran,IRN,2015,"Legal, surgery required"
Iran,IRN,2016,"Legal, surgery required"
Iran,IRN,2017,"Legal, surgery required"
Iran,IRN,2018,"Legal, surgery required"
Iran,IRN,2019,"Legal, surgery required"
Iran,IRN,2020,"Legal, surgery required"
Iran,IRN,2021,"Legal, surgery required"
Iran,IRN,2022,"Legal, surgery required"
Iran,IRN,2023,"Legal, surgery required"
Iran,IRN,2024,"Legal, surgery required"
Iran,IRN,2025,"Legal, surgery required"
Iraq,IRQ,2018,"Legal, medical diagnosis required"
Iraq,IRQ,2019,"Legal, medical diagnosis required"
Iraq,IRQ,2020,"Legal, medical diagnosis required"
Iraq,IRQ,2021,"Legal, medical diagnosis required"
Iraq,IRQ,2022,"Legal, medical diagnosis required"
Iraq,IRQ,2023,"Legal, medical diagnosis required"
Iraq,IRQ,2024,Illegal
Iraq,IRQ,2025,Illegal
Ireland,IRL,2015,"Legal, no restrictions"
Ireland,IRL,2016,"Legal, no restrictions"
Ireland,IRL,2017,"Legal, no restrictions"
Ireland,IRL,2018,"Legal, no restrictions"
Ireland,IRL,2019,"Legal, no restrictions"
Ireland,IRL,2020,"Legal, no restrictions"
Ireland,IRL,2021,"Legal, no restrictions"
Ireland,IRL,2022,"Legal, no restrictions"
Ireland,IRL,2023,"Legal, no restrictions"
Ireland,IRL,2024,"Legal, no restrictions"
Ireland,IRL,2025,"Legal, no restrictions"
Israel,ISR,1986,"Legal, surgery required"
Israel,ISR,1987,"Legal, surgery required"
Israel,ISR,1988,"Legal, surgery required"
Israel,ISR,1989,"Legal, surgery required"
Israel,ISR,1990,"Legal, surgery required"
Israel,ISR,1991,"Legal, surgery required"
Israel,ISR,1992,"Legal, surgery required"
Israel,ISR,1993,"Legal, surgery required"
Israel,ISR,1994,"Legal, surgery required"
Israel,ISR,1995,"Legal, surgery required"
Israel,ISR,1996,"Legal, surgery required"
Israel,ISR,1997,"Legal, surgery required"
Israel,ISR,1998,"Legal, surgery required"
Israel,ISR,1999,"Legal, surgery required"
Israel,ISR,2000,"Legal, surgery required"
Israel,ISR,2001,"Legal, surgery required"
Israel,ISR,2002,"Legal, surgery required"
Israel,ISR,2003,"Legal, surgery required"
Israel,ISR,2004,"Legal, surgery required"
Israel,ISR,2005,"Legal, surgery required"
Israel,ISR,2006,"Legal, surgery required"
Israel,ISR,2007,"Legal, surgery required"
Israel,ISR,2008,"Legal, surgery required"
Israel,ISR,2009,"Legal, surgery required"
Israel,ISR,2010,"Legal, surgery required"
Israel,ISR,2011,"Legal, surgery required"
Israel,ISR,2012,"Legal, surgery required"
Israel,ISR,2014,"Legal, medical diagnosis required"
Israel,ISR,2015,"Legal, medical diagnosis required"
Israel,ISR,2016,"Legal, medical diagnosis required"
Israel,ISR,2017,"Legal, medical diagnosis required"
Israel,ISR,2018,"Legal, medical diagnosis required"
Israel,ISR,2019,"Legal, medical diagnosis required"
Israel,ISR,2020,"Legal, medical diagnosis required"
Israel,ISR,2021,"Legal, medical diagnosis required"
Israel,ISR,2022,"Legal, medical diagnosis required"
Israel,ISR,2023,"Legal, medical diagnosis required"
Israel,ISR,2024,"Legal, medical diagnosis required"
Israel,ISR,2025,"Legal, medical diagnosis required"
Italy,ITA,1982,"Legal, surgery required"
Italy,ITA,1983,"Legal, surgery required"
Italy,ITA,1984,"Legal, surgery required"
Italy,ITA,1985,"Legal, surgery required"
Italy,ITA,1986,"Legal, surgery required"
Italy,ITA,1987,"Legal, surgery required"
Italy,ITA,1988,"Legal, surgery required"
Italy,ITA,1989,"Legal, surgery required"
Italy,ITA,1990,"Legal, surgery required"
Italy,ITA,1991,"Legal, surgery required"
Italy,ITA,1992,"Legal, surgery required"
Italy,ITA,1993,"Legal, surgery required"
Italy,ITA,1994,"Legal, surgery required"
Italy,ITA,1995,"Legal, surgery required"
Italy,ITA,1996,"Legal, surgery required"
Italy,ITA,1997,"Legal, surgery required"
Italy,ITA,1998,"Legal, surgery required"
Italy,ITA,1999,"Legal, surgery required"
Italy,ITA,2000,"Legal, surgery required"
Italy,ITA,2001,"Legal, surgery required"
Italy,ITA,2002,"Legal, surgery required"
Italy,ITA,2003,"Legal, surgery required"
Italy,ITA,2004,"Legal, surgery required"
Italy,ITA,2005,"Legal, surgery required"
Italy,ITA,2006,"Legal, surgery required"
Italy,ITA,2007,"Legal, surgery required"
Italy,ITA,2008,"Legal, surgery required"
